Date,Put_K=365,Open Interest,SMAVG (15),,,Date,Call_K=365,Open Interest,SMAVG (15)
6/27/2017,9,10434,7975,,,6/27/2017,11.75,725,218
6/26/2017,9.125,10137,7373,,,6/26/2017,11.375,645,175
6/23/2017,10.375,9660,6775,,,6/23/2017,10.875,542,138
6/22/2017,8.125,9462,6208,,,6/22/2017,13.875,193,108
6/21/2017,6.375,11092,5650,,,6/21/2017,18.125,183,101
6/20/2017,6.125,11873,4981,,,6/20/2017,19.125,175,95
6/19/2017,4.375,7946,4243,,,6/19/2017,22.625,89,89
6/16/2017,3,8054,3758,,,6/16/2017,30,89,89
6/15/2017,3.75,6836,3262,,,6/15/2017,26.25,89,89
6/14/2017,4.75,6527,2839,,,6/14/2017,24.75,89,89
6/13/2017,4.375,6488,2434,,,6/13/2017,27.875,89,89
6/12/2017,5.625,5799,2025,,,6/12/2017,25.625,89,87
6/9/2017,3.875,5572,1662,,,6/9/2017,34.5,89,84
6/8/2017,4.375,5010,1307,,,6/8/2017,32.875,89,81
6/7/2017,4.125,4734,988,,,6/7/2017,31.375,89,77
6/6/2017,5.625,1412,687,,,6/6/2017,26.125,89,74
6/5/2017,6.75,1161,607,,,6/5/2017,23,89,70
6/2/2017,7.125,1154,542,,,6/2/2017,22.875,89,66
6/1/2017,7.75,1099,478,,,6/1/2017,21.25,89,61
5/31/2017,7.25,1050,416,,,5/31/2017,22.25,89,56
5/30/2017,8.875,806,356,,,5/30/2017,18.875,89,51
5/26/2017,6.75,661,306,,,5/26/2017,23.5,89,
5/25/2017,8.25,627,265,,,5/25/2017,20.25,89,
5/24/2017,7.875,488,224,,,5/24/2017,21.875,89,
5/23/2017,9.125,455,193,,,5/23/2017,21.125,89,
5/22/2017,7.75,352,163,,,5/22/2017,25.25,55,
5/19/2017,8.875,351,140,,,5/19/2017,23.625,46,
5/18/2017,11,246,117,,,5/18/2017,19.75,46,
5/17/2017,8.5,226,,,,5/17/2017,22.75,36,
5/16/2017,9.625,221,,,,5/16/2017,20.375,36,
5/15/2017,10,204,,,,5/15/2017,20.5,36,
5/12/2017,8.625,194,,,,5/12/2017,22.625,22,
5/11/2017,9.75,194,,,,5/11/2017,22,22,
5/10/2017,8.375,158,,,,5/10/2017,25.125,11,
5/9/2017,11.5,158,,,,5/9/2017,21,11,
5/8/2017,12.125,57,,,,5/8/2017,21.125,,
5/5/2017,10.625,47,,,,5/5/2017,23.875,,
5/4/2017,12.25,13,,,,5/4/2017,21.125,,
5/3/2017,9.375,13,,,,5/3/2017,26.375,,
5/2/2017,10.375,13,,,,5/2/2017,25.125,,
5/1/2017,9.625,8,,,,5/1/2017,29.375,,
4/28/2017,12.75,6,,,,4/28/2017,22,,
4/27/2017,12,,,,,4/27/2017,23.25,,
4/26/2017,13.5,,,,,4/26/2017,22.25,,
4/25/2017,11.75,,,,,4/25/2017,25.5,,
4/24/2017,14,,,,,4/24/2017,21.5,,
